,comune,provincia,statale non statale,omr,sistema museale territoriale,sistema museale urbano,sistema museale tematico,casa museo,q1.1 sa denominazione museo istituto,q1.2 sa indirizzo museo istituto,q1.3 sa localita museo istituto,q1.4 sa ubicazione/edificio museo istituto,cap,q1.8 sa telefono museo istituto,q1.9 sa fax museo istituto,q1.10 sa email museo istituto,q1.11 sa sito web museo istituto,latitudine,longitudine
81,latina,latina,non mibact,,,,,,museo della terra pontina,piazza del quadrato 24,,c/o palazzo ex onc.,4100.0,773400088,773400088,museo.terrapontinahotmail.it,,41.466362700000005,12.8986859
82,pastena,frosinone,non mibact,,,,demos,,museo della civilta contadina e dellulivo,via porta napoli snc,pastena,,3020.0,776546006,776546261,museomuseodipastena.it,www.museodipastena.it,41.46718320000001,13.4909669
83,priverno,latina,non mibact,omr,sistema dei monti lepini,sistema museale urbano di priverno,proust,,museo civico archeologico,piazza giovanni xxiii,priverno,palazzo valeriani guarini,4015.0,773905065,773905065,musarchprivernolibero.it,,41.47356129999999,13.181761199999999
84,cassino,frosinone,non mibact,,,,,,museo multimediale historiale di cassino,via san marco 23,cassino,,3043.0,776313852,77622996,infomuseohistoriale.org,www.museohistoriale.org,41.4838568,13.828682999999998
85,cervaro,frosinone,non mibact,,,,,,museo dellarte orafa,piazza colle 1,,,3044.0,776367001,776366354,servizisocialicomune.cervaro.sr.it,www.comune.cervaro.fr.it,41.4893784,13.882477100000001
86,cassino,frosinone,non mibact,omr,,,,,museo dellabbazia di montecassino,,via montecassino,abbazia di montecassino,3043.0,0776 311529,,infoabbaziamontecassino.org,www.abbaziamontecassino.org,41.4907889,13.833377599999999
87,sezze,latina,non mibact,omr,,,musart,,museo diocesano,,palazzo dei canonici,,4018.0,0773 886358 0773 6986105,,archiviocapitolarelibero.it,,41.4994158,13.0617578
88,castro dei volsci,frosinone,non mibact,,,,,,museo civico archeologico,via antonino carnevale 24,madonna del piano,edificio unico ed autonomo,3020.0,775686829,775610128,museo archeolibero.it,,41.5155229,13.402265599999998
89,sermoneta,latina,non mibact,,,,,,museo della storia della ceramica,corso garibaldi,,palazzo caetani,4013.0,77330151,77330010,sermonetaculturavirgilio.it,,41.548769899999996,12.9868556
90,colle san magno,frosinone,non mibact,omr,,,,,museo vivo della memoria,via roma 66,,,3030.0,0776 560051,,museovivodellamemoriagmail.com,www.museovivodellamemoria.it/,41.5513756,13.6955016
91,norma,latina,non mibact,,,,,,museo del cioccolato antica norba,via capo dellacqua 17,,,4010.0,773354548,773353997,infomuseodelcioccolato.com,www.museodelcioccolato.com,41.595353100000004,12.975852699999999
92,ripi,frosinone,non mibact,omr,,,resina,,museo dellenergia,via merigo alto,ex mattatoio e lavatoio sec. xix,,3027.0,0775 285160,,museoenergia.direttoregmail.com,,41.6080872,13.419391899999999
93,arpino,frosinone,non mibact,,,,,,museo della liuteria embergher cerrone,corso tulliano 49,arpino,palazzo felluca merolle,3033.0,776849241,776848535,museiciviciarpinolibero.it,www.arpinoturismo.it,41.6475549,13.611157
94,arpino,frosinone,non mibact,omr,,,,,museo della fondazione umberto mastroianni,,piazza caduti dellaria,castello ladislao,3033.0,0776 848105,,infofondazionemastroianni,www.fondazionemastroianni.it,41.649254299999996,13.6246954
95,atina,frosinone,non mibact,omr,,,musart,,acadmie vitti,via sode 180,loc. ponte melfa,casa dove vissero maria e giacinta caira e cesare vitti,3042.0,0775 211417 398 8168855,,cesare.erariolibero.it,www.ciceroneweb.it,41.6571779,13.7389366
96,veroli,frosinone,non mibact,omr,,,proust,,museo dellabbazia di casamari,via mria 25,casamari,abbazia di casamari,3029.0,0775 282371,0775 281020,infoabbaziadicasamari.it mariaromanapicutialice.it,www.casamari.it,41.6677667,13.4365449
97,lanuvio,roma,non mibact,omr,sistema museale dei castelli romani e prenestini museumgrandtour,,proust,,museo civico lanuvino,piazza della maddalena 16,lanuvio,piano terra del palazzo comunale,40.0,693789237,693789229,culturalanuvio.comnet.roma.it,,41.6759901,12.69766
98,velletri,roma,non mibact,omr,,sistema museale urbano di velletri,proust,,museo civico di geopaleontologia e preistoria dei colli albani,via g. mameli 4,velletri,palazzo comunale,49.0,696158268,696158239,museo.civicocomune.velletri.rm.it,www.velletrimusei.it,41.6861964,12.7770369
99,veroli,frosinone,non mibact,,,,,,museo delle erbe dei monti ernici,piazza mazzoli 10,,,3029.0,775237081,775230914,segreteria.verolilibero.it,www.comune.veroli.fr.it,41.6907002,13.4178082
100,veroli,frosinone,non mibact,,,,,,museo del duomo,piazza duomo 3,,,3029.0,775237020,775237020,giup64infinito.it,,41.6909908,13.4176301
101,san donato val di comino,frosinone,non mibact,,,,,,museo geologico territoriale,via roma 3,,,3046.0,776508701,776508918,infocomune.sandonatovaldicomino.fr.it,,41.706826899999996,13.813978
102,colleferro,roma,non mibact,omr,,,proust,,museo archeologico del territorio toleriense,via carpinetana sud 144,colleferro,,34.0,69781169,69781169,museocomune.colleferro.rm.it,,41.7219513,13.0115765
103,albano laziale,roma,non mibact,omr,sistema museale dei castelli romani e prenestini museumgrandtour,,,,museo civico archeologico di villa ferraioli,viale risorgimento 3,albano,villa ferraioli,41.0,69323490,69325759,museocomune.albanolaziale.rm.it,,41.7268192,12.661449800000002
104,artena,roma,non mibact,omr,,,,,museo del collegio francescano,via del convento 83,,convento di santa maria del ges,31.0,06 951911,06 9519408,infoconvento francescano artena.it,http//beni culturali.provincia.roma.it/content/museo del collegio francescano santa maria del gesc3b9,41.739098600000005,12.907743400000001
105,artena,roma,non mibact,,,,,,museo civico archeologico r.lamrechts,via fleming 20,,granaio borghese,31.0,0695199051 95191074,69515119,servizio3comune.artena.rm.it,www.comune.artena.rm.it,41.742762799999994,12.9113366
106,roma,roma,mibact,,,,,,castello di giulio ii,piazza della rocca,borgo ostia antica,,119.0,,,,,41.7596893,12.3014406
107,rocca di papa,roma,non mibact,omr,sistema museale dei castelli romani e prenestini museumgrandtour,,resina,,museo geofisico,via dellosservatorio 42,rocca di papa,osservatorio geodinamico,40.0,69496230,69496230,museoroccadipapaingv.it,,41.759879299999994,12.7100771
108,roma,roma,mibact,,,,,,scavi di ostia antica e museo,viale dei romagnoli 717,ostia antica,,119.0,06 56358099,06 5651500,ssba rm.osanbeniculturali.it,,41.7605709,12.3029256
109,fiumicino,roma,mibact,,,,,,basilica di s. ippolito e annesso antiquarium,via redipuglia,angolo col moschin isola sacra fiumicino,,54.0,656358043,65651500,,,41.76978270000001,12.268536300000001
110,fiumicino,roma,mibact,,,,,,area archeologica del porto di traiano,via portuense,,,54.0,66529192,,,,41.7742693,12.2517063
111,valmontone,roma,non mibact,omr,sistema museale dei castelli romani e prenestini museumgrandtour,,,,museo di palazzo doria pamphilj,piazza umberto pilozzi 9,,palazzo doria pamphilj,38.0,695990229,,culturacomune.valmontone.rm.gov.it,,41.776190899999996,12.9184242
112,roma,roma,mibact,,,,,,museo nazionale romano terme di diocleziano,vie e. de nicola,stazione termini,,185.0,6477881,64814190,rosanna.friggeribeniculturali.it,www.archeoroma.beniculturali.it,41.7762721,12.612344300000002
113,palestrina,roma,non mibact,omr,sistema museale dei castelli romani e prenestini museumgrandtour,,,,museo diocesano prenestino di arte sacra,via roma 23,,,36.0,69534428,69538116,museodiocesanodiocesipalestrina.it,,41.7894554,12.8802041
114,frascati,roma,non mibact,omr,,,,,museo etiopico g. massaia,via cardinale massaia 26,,convento dei cappuccini,44.0,694010439,,proriviin.it capfrasosmcap.org,,41.804533500000005,12.6838738
115,frascati,roma,non mibact,omr,sistema museale dei castelli romani e prenestini museumgrandtour,,,,museo tuscolano scuderie aldobrandini,piazza guglielmo marconi 6,,,44.0,69417195,69417195,eventicomune.frascati.rm.it,www.scuderiealdobrandini.org,41.8060816,12.680226
116,monte porzio catone,roma,non mibact,,,,,,inaf osservatorio astronomico di roma,via frascati 33,monte porzio catone,c/o osservatorio astronomico,40.0,694286427,69449446,divaoa roma.inaf.it,www.webdiva2.oa roma.inaf.it,41.8132765,12.7067238
117,monte porzio catone,roma,non mibact,omr,sistema museale dei castelli romani e prenestini museumgrandtour,sistema museale urbano di monte porzio catone,proust,,museo della citta,via simone pomardi 1,monte porzio catone,c/o chiesa,40.0,694341031,69447471,museicomune.monteporziocatone.rm.it,www.comune.monteporziocatone.rm.it,41.81555170000001,12.713924699999998
118,citt di cave,roma,non mibact,omr,sistema pre.gio,,,,museo civico citt di cave,via cavour 27,,ex ospedale mattei ex convento degli agostiniani,33.0,347 5438042,,museocivicocavegmail.com,www.comune.cave.rm.it/joomla/index.phpoptioncom contentviewarticleid106itemid207langit,41.8175809,12.9296593
119,roma,roma,non mibact,,,,,,societa di studi fiumani,via antonio cippico 10,,,143.0,65923485,65915755,infofiume rijeka.it,www.fiume rijeka.it,41.8209437,12.4816416
120,giuliano di roma,roma,non mibact,omr,,,resina,,museo del vulcanismo ernico muve,via san tommaso,,palazzo brettagna,3020.0,,,,,41.8229064,12.5083767
121,san cesareo,roma,non mibact,omr,sistema museale dei castelli romani e prenestini museumgrandtour,,,,ferrovia museo della stazione di colonna,via casilina 17,san cesareo,ex stazione di colonna,30.0,69439290,694730008,stazionecolonnaalice.it,www.ferroviamuseo colonna.it,41.8240697,12.8108383
122,roma,roma,mibact,,,,,,villa dei quintili,via appia nuova 1092,statuario,area archeologica estesa tra via appia nuova e via appia antica,178.0,67129121,671291230,ssba rm.villadeiquintilibeniculturali.it,htpp//www.archeoroma.beniculturali.it,41.830827899999996,12.5555566
123,roma,roma,non mibact,omr,,sistema musei in comune,,,museo della civilt romana,piazza giovanni agnelli 10,,palazzo storico,144.0,65926041,65926135,info.museociviltaromanacomune.roma.it,www.museociviltaromana.org,41.8314198,12.477854800000001
124,roma,roma,mibact,,,,,,museo nazionale dellalto medioevo,viale lincoln 3,,,144.0,654228199,06 54228130,ssba rm.ostia.medioevobeniculturali.it,,41.8326346,12.472430000000001
125,palestrina,roma,non mibact,,,,,,fondazione giovanni pierluigi da palestrina,vicolo pierluigi 3,,,36.0,69538083,69538083,fond.palestrinatiscalinet.it,,41.83940870000001,12.889351
126,genazzano,roma,non mibact,omr,sistema museale dei castelli romani e prenestini,,musart,,centro internazionale darte contemporanea ciac,piazza san nicola 4,,castello colonna,30.0,,,infociacmuseum.com,www.ciacmuseum.com,41.8458692,12.945314300000001
127,castel san pietro,roma,non mibact,omr,sistema pre.gio,,,,museo civico,piazza vittorio veneto,,palazzo mocci,30.0,06 9538481,06 9538481,ilbetilotiscali.it,http//beni culturali.provincia.roma.it/content/museo civico di castel san pietro,41.8464775,12.8943829
