,Categoria,Provincia,Comune,Denominazione,Indirizzo,Telefono,Orari,Biglietto intero,Biglietto ridotto,Note,scheda
10,Musei etnoantropologici,Messina,Mistretta,Museo delle Tradizioni silvo-pastorali di Mistretta,Via LibertÃ  184,0921381696 (temporaneamente disattivato),"Fino al 30 aprile: aperto da martedÃ¬ a sabato, dalle 9,00 alle 13,00. Da maggio aperto da martedÃ¬ a domenica (9,00 - 13,00). 1 maggio aperto.",Gratuito,Gratuito,"Per la disattivazione delle linee telefoniche di rete fissa, le comunicazioni al Museo potranno essere inviate alle caselle polomuseale.me.uo3@regione.sicilia.it e museo.messina.uo3@regione.sicilia.it",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=6&amp;IdSito=127
11,Monumentale,Palermo,Palermo,Real Albergo dei Poveri,Corso Calatafimi 217,091422314,"Da martedÃ¬ a sabato, dalle 9.30 alle 18,30. Domeniche e festivi dalle 9,30 alle 13,30. LunedÃ¬ chiuso",,,"Sede espositiva per mostre temporanee, dipendente dal Polo regionale di Palermo per i Parchi e i Musei archeologici",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=171&amp;IdSito=131
12,Aree archeologiche,Palermo,Palermo,Villino Florio e Giardino,Via Regina Margherita,0917025471 - 0917071425,Da martedÃ¬ a sabato dalle 9.00 alle 13.00. Prima domenica del mese ingresso gratuito dalle 9.00 alle 13.30 (chiusura biglietteria 30 minuti prima). LunedÃ¬ chiuso,Gratuito,Gratuito,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=176&amp;IdSito=119
13,Monumentale,Palermo,Palermo,Chiostro di San Giovanni degli Eremiti,Via dei Benedettini 20,0917071425 - 0916515019  - 0917071411,"Da lunedÃ¬ a sabato 9,00-19,00 (ultimo ingresso 18,30) domenica e festivi 9,00-13,30 (ultimo ingresso 13,00)","6,00 â‚¬","3,00 â‚¬",Prima domenica del mese ingresso gratuito,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=48&amp;IdSito=58
14,Monumentale,Messina,Villafranca Tirrena,Castello di Bauso,Piazza Castello,090334948,Da lunedÃ¬ a venerdÃ¬ dalle 9 alle 13. MercoledÃ¬ dalle 15.30 alle 17.30. Domenica e festivi su prenotazione. Rivolgersi alla Pro loco (3933687036) o allâ€™Ufficio del Turismo (0903310311),Gratuito,Gratuito,,
15,Aree archeologiche,Enna,Piazza Armerina,Museo regionale della Villa Romana del Casale a Piazza Armerina,"Piazza Armerina, Piazza Cattedrale 20 - Palazzo Trigona",0935687667,Non aperto al pubblico,,,Museo in allestimento. Per informazioni urpmuseo.casale@regione.sicilia.it oppure visita www.villaromanadelcasale.it.,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=39&amp;IdSito=124
16,Aree archeologiche,Palermo,Cefala' Diana,Bagni di CefalÃ  Diana,CefalÃ  Diana (seguire indicazioni),0917071425 - Rangers 0918291551,"giovedÃ¬ e sabato 9,00-19,00; martedÃ¬, mercoledÃ¬ e venerdÃ¬ 9,00-14,00. Prima domenica del mese 9.00-13.30. Ultimo ingresso 30 minuti prima della chiusura. LunedÃ¬ chiuso",Gratuito,Gratuito,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=324&amp;IdSito=156
17,Aree archeologiche,Agrigento,Licata,Area archeologica di Monte Sant'Angelo e Castel Sant'Angelo,Zona archeologica di Castel Sant'Angelo - Licata,0922772602,"Da LunedÃ¬ al Sabato dalle ore 9,00 alle ore 13,30. Tutte le Domeniche e le FestivitÃ  chiusura totale",Gratuito,Gratuito,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=160&amp;IdSito=14
18,Parco naturalistico,Messina,Taormina,Giardino di Villa Caronia,Via Pirandello 107 - Taormina - Sicily - Italy,Direzione Tel : 0942628738 Fax : 0942628738,www.parconaxostaormina.it - Aperto da Lunedi a Venerdi dalle 9.30 alle 13.30 - Chiuso Sabato e Domenica.,Gratuito,Gratuito,"Audio Tour 
LINK IZI.travel 
https://izi.travel/it/italia/guide-di-citta-in-sicilia-taormina
Scarica App su iziTRAVEL",
19,Aree archeologiche,Agrigento,Licata,Area archeologica di Licata,Contrada Stagnone - Pontillo,0922772602,"Nei giorni 16 aprile, 17 aprile, 23 aprile, 25 aprile, 30 aprile, 1 maggio 2017 l'area archeologica rimarrÃ  chiusa",Gratuito,Gratuito,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=157&amp;IdSito=11
20,Zone archeologiche e Antiquarium,Messina,Patti,Area archeologica Teatro antico e Antiquarium di Tindari,Via del Teatro Greco - LocalitÃ  Tindari,0941369023,"maggio, giugno, luglio e agosto ore 09:00/19:00. Dal 1 al 15 settembre ore 09:00/18:30; dal 16 al 30 settembre ore 09:00/18:00.","6,00 â‚¬","3,00 â‚¬","Dal 1 settembre 2015 Ã¨ istituito il biglietto unico per la visita della Villa Romana di Patti Marina e dell'area archeologica di Tindari (tariffa intera di â‚¬ 8,00 e ridotta di â‚¬ 4,00), la cui validitÃ  Ã¨ di tre giorni dalla data di emissione.",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=46&amp;IdSito=48
21,Aree archeologiche,Catania,Adrano,Mura Dionigiane,Via Catania,3315771468,In atto chiuse al pubblico,Ingresso libero,Ingresso libero,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=167&amp;IdSito=36
22,Musei archeologici,Ragusa,Ragusa,Museo regionale di Kamarina,S.P. 102 Km.1 C.da Cammarana-Ragusa. Indirizzo postale 97019 Scoglitti (RG) c.p. n.60. Mail museo.camarina@regione.sicilia.it,0932 826004,Aperto tutti i giorni feriali dalle 9.00 alle 14.00 e dalle 15.00 alle 19.00. Apertura festiva solo la prima domenica del mese,"4,00 â‚¬","2,00 â‚¬",Dipende dal Polo regionale di Ragusa per i siti archeologici e per i Parchi archeologici di Kamarina e Cava Ispica,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=29&amp;IdSito=121
23,Antiquaria,Agrigento,Ravanusa,Zona Archeologica,Monte Saraceno - Ravanusa,Centralino Soprintendenza BB.CC.AA. di Agrigento 0922552611,"Giorni feriali:aperto tutti i giorni dalle 8,30 alle 19.
Domeniche e festivitÃ  infrasettimanale:chiuso",Gratuito,Gratuito,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=327&amp;IdSito=161
24,Musei e Gallerie,Agrigento,Agrigento,Biblioteca - Museo regionale Luigi Pirandello di Agrigento,Casa Natale di Luigi Pirandello - Contrada Caos Villaseta,0922511826 e-mail: polomuseale.ag.uo3@regione.sicilia.it,"Aperta dal lunedÃ¬ al sabato dalle 9,00 alle 13,30 e dalle 14,30 alle 19,30 (ultimo ingresso mezz'ora prima della chiusura). Domenica e festivi dalle 9,00 alle 13,30.
Prima domenica del mese ingresso gratuito.","4,00 â‚¬","2,00 â‚¬","Il 6 luglio 2017 la ''Casa natale'' sarÃ  aperta al pubblico soltanto dalle 9,00 alle 13,30 (ultimo ingresso mezz'ora prima della chiusura). Chiusura al pubblico dalle ore 14,00.",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=1&amp;IdSito=6
25,Musei archeologici e Zone archeologiche,Palermo,Lercara Friddi,Parco archeologico-industriale e museo della zolfara di Lercara Friddi,Via Vittorio Emanuele III 52 - Villa Rose-Gardner,091 8252212 - 3346476411,"Chiuso, in allestimento",,,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=316&amp;IdSito=153
26,Aree archeologiche,Catania,Catania,Terme della Rotonda,Via della Mecca,095/7150508 - polomuseale.ct@regione.sicilia.it; poloregionalect.urp@regione.sicilia.it,Tutti i mercoledÃ¬ e tutte le domeniche dalle ore 9.00 alle 13.00.,Gratuito,Gratuito,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=150&amp;IdSito=33
27,Antiquaria,Agrigento,Sambuca di Sicilia,Antiquarium di Monte Adranone,Antiquarium Palazzo Panitteri e Zona archeologica Monte Adranone in Sambuca di Sicilia,0925946083,"Orario di apertura al pubblico da MartedÃ¬ al Sabato dalle 8,00 alle 19,30. La prima Domenica di ogni mese apertura al pubblico dalle 8,00 alle 14,00. Tutti i LunedÃ¬, le altre Domeniche e le FestivitÃ  chiusura totale","6,00 â‚¬","3,00 â‚¬","Il Museo Archeologico Palazzo Panitteri Ã¨ gestito dal Comune di Sambuca di Sicilia.
Il biglietto comprende l'ingresso a Monte Adranone - Palazzo Panitteri in Sambuca di Sicilia e Antiquarium di Monte Kronio in Sciacca.",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=156&amp;IdSito=13
28,Aree archeologiche,Catania,Catania,Terme Romane dell'Indirizzo,Piazza CurrÃ²,095/7150508- polomuseale.ct@regione.sicilia.it; poloregionalect.urp@regione.sicilia.it,Le Terme Romane dell'Indirizzo sono visitabili su prenotazione,Gratuito,Gratuito,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=151&amp;IdSito=31
29,Antiquaria,Agrigento,Sciacca,Antiquarium di Monte Kronio - Stufe di S. Calogero,Monte Cronio - Sciacca,092528989,"Da lunedÃ¬ a venerdÃ¬ dalle 9 alle 19.30. Sabato dalle 9 alle 13.30. La prima Domenica di ogni mese apertura al pubblico dalle 9.00 alle 13.00.Tutte le altre Domeniche, comprese le FestivitÃ , chiusura totale","4,00 â‚¬","2,00 â‚¬","E' possibile acquistare il biglietto cumulativo (intero â‚¬ 6,00, ridotto â‚¬ 3,00) per la visita di Monte Adranone e Palazzo Panitteri in Sambuca di Sicilia e Antiquarium di Monte Kronio in Sciacca.",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=155&amp;IdSito=95
30,Musei archeologici,Messina,Lipari,Museo archeologico regionale Bernabo' Brea a Lipari,"Via del Castello, 2 98055 LIPARI",0909880174/594 fax 0909880175,"Aperto tutti i giorni feriali dalle 9,00 alle 19,30 (ultimo ingresso ore 18,30). 
Domenica e Festivi aperto dalle 9,00 alle 13,30.","6,00 â‚¬","3,00 â‚¬",Ingresso gratuito nella prima domenica di ogni mese.,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=26&amp;IdSito=45
31,Aree archeologiche,Enna,Aidone,Area archeologica di Morgantina,Contrada Morgantina,093587955,"Aperta tutti i giorni, compresi i festivi, dalle 11,00 alle 19,00,(orario continuato)ultimo ingresso alle ore 18.00","6,00 â‚¬","3,00 â‚¬","Vendita biglietti ridotti e cumulativi di due o tre siti tra: Area di Morgantina, Museo di Aidone e Villa del Casale.",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=40&amp;IdSito=41
32,Musei archeologici,Agrigento,Ravanusa,"Museo archeologico ""Salvatore Lauricella""",Corso della Repubblica 27 - Ravanusa,Comune di Ravanusa (AG),"Tutti i giorni dalle 8,30 alle 13,30 con esclusione dei giorni festivi",Gratuito,Gratuito,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=328&amp;IdSito=173
33,Aree archeologiche,Agrigento,Agrigento,Valle dei Templi di Agrigento,"Via Panoramica dei Templi, snc (Casa Sanfilippo)",Vedi sito Internet del Parco Archeologico,Vedi sito Internet del Parco Archeologico,"10,00 â‚¬","5,00 â‚¬",,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=34&amp;IdSito=8
34,Aree archeologiche,Siracusa,Palazzolo Acreide,Area archeologica di Akrai,Colle dell'Acromonte,0931876602,"Tutti i giorni dalle 8,30 alle 19.00 (chiusura biglietteria 18.00)","4,00 â‚¬","2,00 â‚¬","biglietto cumulativo con Casa Museo Uccello â‚¬ 5.00 ridotto 2,50",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=56&amp;IdSito=85
35,Monumentale,Agrigento,Agrigento,Santa Maria dei Greci,Via Santa Maria dei Greci,Centralino Soprintendenza BB.CC.AA. di Agrigento 0922552611,"Giorni feriali:aperto tutti i giorni dalle 8,30 alle 19
Aperto la prima domenica del mese dalle 8,30 alle 13,30 (il lunedÃ¬ successivo dalle 8,30 alle 13,30)",Gratuito,Gratuito,Si comunica che il sito resterÃ  chiuso giorno 14 luglio 2017 per intervento di disinfestazione e derattizzazione,
36,Musei archeologici,Enna,Enna,Museo regionale interdisciplinare di Enna,Piazza Mazzini 8,09355076304 - fax 09355076323,"Da lunedÃ¬ a sabato, dalle 9,00 alle 18,00 (uscita entro le 19.00. Festivi soltanto la prima domenica del mese, con ingresso sempre gratuito.",Gratuito,Gratuito,Dall'8 gennaio: per le avverse condizioni meteorologiche il Museo aprirÃ  soltanto in orario antimeridiano sino a nuova comunicazione,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=21&amp;IdSito=39
37,Aree archeologiche,Messina,Tusa,Area archeologica Halaesa Arconidea,Contrada Santa Maria delle Palate,"Si informa che per la temporanea disattivazione delle linee telefoniche di rete fissa, le comunicazioni potranno essere inviate alle caselle polomuseale.me.uo3@regione.sicilia.it e museo.messina.uo3@regione.sicilia.it","Orario di apertura: Da martedÃ¬ a domenica dalle 9,00 alle 18,30. Orario biglietteria 9,00/18,00",Gratuito,Gratuito,Giorni 8 e 9 maggio 2017: il sito sarÃ  chiuso al pubblico per disinfestazione.,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=45&amp;IdSito=52
38,Aree archeologiche,Caltanissetta,Caltanissetta,Area archeologica Gibil Gabib,Contrada Gibil - Gabib,0934554964,Visitabile su prenotazione inviando richiesta a: sopricl@regione.sicilia.it,Gratuito,Gratuito,Per ragioni di sicurezza il sito non Ã¨ temporaneamente visitabile.,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=163&amp;IdSito=18
39,Aree archeologiche,Trapani,Castelvetrano,Area archeologica Selinunte,Via Selinunte,092446277,"Apertura alle 9,00. Dal 1 marzo chiusura alle ore 17.00 (uscita entro le 18.00). Dal 26 marzo chiusura alle ore 18.00 (uscita entro le 19.00).","6,00 â‚¬","3,00 â‚¬","ModalitÃ  di pagamento ingresso alle aree del Parco: CONTANTI: allo sportello della biglietteria, POS allo sportello della biglietteria; BONIFICO BANCARIO (istruzioni sulla pagina del Parco)",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=58&amp;IdSito=92
40,Aree archeologiche e Antiquarium,Caltanissetta,Caltanissetta,Area archeologica e Antiquarium di Sabucina,Contrada Sabucina,0934554964,Visitabile su prenotazione inviando richiesta a: sopricl@regione.sicilia.it,Gratuito,Gratuito,Per ragioni di sicurezza il sito non Ã¨ temporaneamente visitabile.,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=36&amp;IdSito=17
41,Aree archeologiche e Antiquarium,Palermo,Santa Flavia,Area archeologica e Antiquarium di Solunto,Via Collegio Romano - localitÃ  Solunto,UFFICIO AMMINISTRATIVO 091905043 - AREA PARCO ARCHEOLOGICO 091909339,Dalle 9.30 alle 19.30. Domenica e festivi dalle 9.30 alle 13.30. LunedÃ¬ chiuso. Ultimo ingresso sempre un'ora prima.,"4,00 â‚¬","2,00 â‚¬",Dipende dal Polo regionale di Palermo per i Parchi e i Musei archeologici. La Prima domenica di ogni mese l'ingresso Ã¨ gratuito.,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=51&amp;IdSito=62
42,Musei archeologici,Enna,Centuripe,Museo archeologico regionale di Centuripe,Via SS. Crocifisso 1,093573079,Tutti i giorni dalle 9.00 alle 19.00.,Gratuito,Gratuito,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=317&amp;IdSito=154
43,Aree archeologiche,Messina,Taormina,Teatro Greco Romano di Taormina,Via del Teatro Greco 40 - Taormina - Sicily - Italy,Direzione 0942 628738 / Biglietteria Teatro 094223220 / Uffici Teatro 094224291,"Aperto tutti i giorni dalle 9.00 ad un'ora prima del tramonto
www.parconaxostaormina.it, vedi Orari e modalitÃ  di visita.","10,00 â‚¬","5,00 â‚¬","Audio Tour
LINK IZI.travel 
https://izi.travel/it/italia/guide-di-citta-in-sicilia-taormina
Scarica App su iziTRAVEL",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=43&amp;IdSito=50
44,Aree archeologiche,Palermo,Caccamo,Castello medievale di Caccamo,Via del Castello,"Ufficio Turismo   Tel. 0918103207/221   turismo@comune.caccamo.pa.it

Biglietteria Castello   Tel. 091/8149252

castello@comune.caccamo.pa.it","Da martedÃ¬ a domenica, dalle 9.00 alle 13.00 e dalle 15.00 alle 19","4,00 â‚¬","2,00 â‚¬",,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=325&amp;IdSito=130
45,Monumentale,Palermo,Palermo,Convento della Magione,Piazza Magione,0917071425  - 0917071411,"martedÃ¬ e sabato ore 9,00-19,00 (ultimo ingresso ore 18,30): lunedÃ¬, mercoledÃ¬, giovedÃ¬, venerdÃ¬ ore 9,00-13,30 (ultimo ingresso ore 13,00); domenica e festivi chiuso",Gratuito,Gratuito,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=97&amp;IdSito=111
46,Monumentale,Palermo,Palermo,Giardino di Villa Napoli e Piccola Cuba,Via F. Speciale,3346001743 - 0917071425,Visitabile su prenotazione,Gratuito,Gratuito,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=12&amp;IdSito=109
47,Aree archeologiche,Palermo,Palermo,Area archeologica monumentale di Castello a Mare,Via Crispi (ingresso Via Patti),0917071317/411,"Da martedÃ¬ a sabato, dalle 9.30 alle 18,30. Domeniche e festivi dalle 9,30 alle 13,30. LunedÃ¬ chiuso","2,00 â‚¬","1,00 â‚¬",Dipende dal Polo regionale di Palermo per i Parchi e i Musei Archeologici,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=92&amp;IdSito=59
48,Musei archeologici,Agrigento,Licata,Museo archeologico regionale della Badia,Via Dante 12 - Licata,0922 772602,"Da MartedÃ¬ al Sabato dalle ore 9,00 alle ore 13,00. Il GiovedÃ¬ e il Sabato apertura anche il pomeriggio dalle ore 16,00 alle ore 18,00. Tutte le Domeniche, i LunedÃ¬ e le FestivitÃ  chiusura totale",Gratuito,Gratuito,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=17&amp;IdSito=10
49,Aree archeologiche,Catania,Mineo,Area archeologica di Palike',Contrada Rocchicella,3315771468,"Chiusa lunedÃ¬, domenica e festivi. Aperta da martedÃ¬ a sabato dalle 9 alle 13.00; mercoledÃ¬ dalle 9 alle alle 17.30.",Gratuito,Gratuito,"Giorno 17 maggio 2017, in occasione della festa del Santo Patrono a Mineo, il sito archeologico di PalikÃ¨ rimarrÃ  chiuso",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=38&amp;IdSito=37
50,Musei e Gallerie,Palermo,Palermo,Castello della Favara a Maredolce,Via Giafar - svincolo Porto,0917071425 - 3357957161,"Aperto da lunedÃ¬ a sabato e ogni prima domenica del mese, con i seguenti orari: lunedÃ¬, mercoledÃ¬, giovedÃ¬, venerdÃ¬ e prima domenica dalle 9 alle 13, martedÃ¬ e sabato dalle 9 alle 18.30",Gratuito,Gratuito,"Il sito sarÃ  chiuso al pubblico dal 20 giugno al 4 luglio 2017 per lo svolgimento del Workshop internazionale: ''Maredolce - La Favara. Un nuovo paesaggio per Brancaccio, Palermo''.",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=173&amp;IdSito=134
51,Aree archeologiche,Palermo,Palermo,Castello della Cuba e Necropoli Punica,Corso Calatafimi 100,0917071425 - 091590299,"da lunedÃ¬ a sabato ore 9,00-19,00 (ultimo ingresso 18,30), domenica e festivi chiuso. Prima domenica del mese ingresso gratuito ore 9,00-13,30 (ultimo ingresso 13,00).  Pasqua, LunedÃ¬ dell'Angelo e 25 aprile: chiusura","2,00 â‚¬","1,00 â‚¬","Necropoli Punica: Pasqua, Pasquetta, 25 aprile e 1 maggio aperto dalle 9.30 dalle 13.30.",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=47&amp;IdSito=57
52,Musei archeologici,Caltanissetta,Marianopoli,Museo archeologico regionale di Marianopoli,Viale Regione Siciliana,0934554964,"GIUGNO-LUGLIO da martedÃ¬ a domenica dalle ore 9.00 alle ore 13.00 e dalle ore 15.30 alle ore 19.00
Chiuso tutti i lunedÃ¬",Gratuito,Gratuito,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=20&amp;IdSito=26
53,Musei e Gallerie,Palermo,Palermo,Museo regionale Palazzo Mirto,"Via Merlo 2, Palermo","tel e fax 0916164751; tel 0916167541
e-mail: polomuseale.pa.uo4@regione.sicilia.it
https://www.facebook.com/pages/CASA-MUSEO-Palazzo-MIRTO/265051623703706","LunedÃ¬ chiusura settimanale. Da martedÃ¬ a sabato 9,00 - 18,00; domenica e festivi 9,00 - 13,00. La prima domenica di ogni mese ingresso gratuito. 26 e 27 giugno chiusura per disinfestazione","6,00 â‚¬","3,00 â‚¬","Biglietto cumulativo â‚¬ 10,00 (vaiditÃ  3 giorni) per Palazzo Mirto, Palazzo Abatellis, Oratorio dei Bianchi.",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=10&amp;IdSito=55
54,Musei e Gallerie,Palermo,Palermo,Oratorio dei Bianchi,Piazzetta dei Bianchi,"Telefono 0916173080 fax 0916165305 Mail:polomuseale.pa@regione.sicilia.it
Urp 0916230068","Dal martedÃ¬ alla domenica 10.00-13.30 / 16.30-20.00 - LunedÃ¬ chiuso.
Orario valido esclusivamente per il periodo della mostra","8,00 â‚¬","6,00 â‚¬","Mostra ''Serpotta e il suo Tempo'' 23 giugno-1 ottobre 2017
Info e prenotazioni 0918887767",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=142&amp;IdSito=113
