,,biglietto intero,biglietto ridotto,cap,casa museo,categoria,comune,denominazione,indirizzo,latitudine,longitudine,note,omr,orari,provincia,q1.10 sa email museo istituto,q1.11 sa sito web museo istituto,q1.3 sa localita museo istituto,q1.4 sa ubicazione/edificio museo istituto,q1.9 sa fax museo istituto,scheda,sistema museale tematico,sistema museale territoriale,statale non statale,telefono
Lazio,23,,,4010.0,,,roccagorga,etnomuseo monti lepini,piazza risorgimento 4,41.524705,13.156568,,omr,,latina,infoetnomuseo.it,www.etnomuseo.it,,palazzo baronale,773960000,,demos,sistema dei monti lepini,non mibact,773958792
Lazio,24,,,4010.0,,,roccagorga,museo civico assi dellaeronautica,via domenico menta,41.524963,13.1573663,,,,latina,comune.roccagorgalibero.it,,roccagorga,edificio scolastico giuseppe restaini,773960170,,,,non mibact,773959098
Lazio,25,,,3024.0,,,ceprano,museo civico archeologico di gregellae,corso della repubblica,41.545371,13.5160425,,omr,,frosinone,museo.cepranolibero.it,,ceprano,sede comunale,775912754,,,,non mibact,7759174237
Lazio,26,,,4010.0,,,bassiano,museo delle scritture aldo manuzio,via aldo manuzio 117,41.549186999999996,13.032689999999999,,omr,,latina,mdscomune.bassiano.lt.it,,bassiano,,773355013,,demos,,non mibact,773355013
Lazio,27,,,3032.0,,,arce,museo territoriale gente di ciociaria,piazza umberto i snc,41.587742,13.5742208,,,,frosinone,infoxvcomunitamontanalazio.it,www.xvcomunitamontanalazio.it,,,776524092,,,,non mibact,776523171
Lazio,28,,,49.0,,sistema museale urbano di velletri,velletri,museo diocesano velletri,corso della repubblica 347,41.682846999999995,12.775827,,omr,,roma,museomuseodiocesanovelletri.com,www.museodiocesanovelletri.it,velletri,palazzo vescovile,69628838,,,,non mibact,69628838
Lazio,29,,,49.0,,sistema museale urbano di velletri,velletri,museo civico archeologico oreste nardini,via g.mameli 6,41.686284,12.7770344,,omr,,roma,museo.civicocomune.velletri.rm.it,www.velletrimusei.it,velletri,palazzo comunale,696158239,,proust,,non mibact,696158268
Lazio,30,,,37.0,,,segni,museo archeologico comunale di segni,via lauri 1,41.692865000000005,13.023669900000002,,omr,,roma,infomuseosegni.it,www.museosegni.it,,antico palazzo della comunit,697.260.072,,proust,sistema dei monti lepini,non mibact,697.260.072
Lazio,31,,,40.0,,,nemi,museo delle navi romane di nemi,via diana 15/19,41.720303,12.683235,,,,roma,sba laz.nemi.museonaviromanebeniculturali.it,www.archeolz.arti.beniculturali.it,nemi lago,,06 9398040,,,,mibact,06 9398040
Lazio,32,,,40.0,,,ariccia,museo del barocco di palazzo chigi di ariccia,piazza di corte 14,41.720918,12.6716841,,omr,,roma,infopalazzochigiariccia.it,www.palazzochigiariccia.it,,palazzo chigi,69330988,,,,non mibact,69330053
Lazio,33,,,3011.0,,,alatri,museo civico,corso cavour 3,41.726062,13.343724900000002,,omr,,frosinone,comune alatrilibero.it culturaeturismocomune.alatri.fr.it,,,allinterno del centro storico di alatri,775459009,,proust,,non mibact,0775459009 07754481 comune
Lazio,34,,,3012.0,,,anagni,museo del tesoro della cattedrale e lapidario,via leone xiii 5,41.742697,13.1622,,,,frosinone,anagnicattedralelibero.it,www.anagnicattedrale.org,,c/o cattedrale di anagni,7755728374,,,,non mibact,775728374
Lazio,35,,,3012.0,,,anagni,mostra permanente tommaso gismondi,piazza innocenzo iii 25,41.742993,13.161588,,,,frosinone,,,,,775727856,,,,non mibact,775727856
Lazio,36,,,54.0,,,fiumicino,necropoli di porto isola sacra,via di monte spinoncia 52,41.767072,12.265684,,,,roma,,,,,,,,,mibact,66583888
Lazio,37,,,3010.0,,,vico nel lazio,museo alla pace i nuovi primitivi,via guglielmo marconi 56,41.777896000000005,13.342014,,,,frosinone,luciano.dabbruzzoalice.it,,,c/o palazzo del governatore,775418932,,,,non mibact,77541662
Lazio,38,,,178.0,,,roma,museo delle carrozze depoca,via andrea millevoi 693,41.817136,12.519055999999999,,omr,,roma,infolecarrozzadepoca.it,,roma cecchignola est,,651958112,,,,non mibact,651958112
Lazio,39,,,144.0,,,roma,museo nazionale delle arti e tradizioni popolari,piazza marconi 8/10,41.832485999999996,12.4718655,,,,roma,ic dbeniculturali.it,www.idea.mat.beniculturali.it,,,65911848,,,,mibact,65926148
Lazio,40,,,144.0,,,roma,museo nazionale preistorico ed etnografico l. pigorini,piazza guglielmo marconi 14,41.832485999999996,12.4718655,,,,roma,s mnpebeniculturali.it,www.pigorini.beniculturali.it,eur,palazzo delle scienze,654952310,,,,mibact,6549521
Lazio,41,,,39.0,,,zagarolo,museo demoetnoantropologico del giocattolo,piazza indipendenza,41.838194,12.8308964,,omr,,roma,infomuseogiocattolo.it,www.museogiocattolo.it,zagarolo,palazzo ruspigliosi,69524572,,,sistema museale dei castelli romani e prenestini museumgrandtour,non mibact,695769405
Lazio,42,,,30.0,,,rocca di cave,museo geo paleontologico ardito desio,piazza della torre 11,41.847297,12.945667,,omr,,roma,hipparcos.cdstiscali.it,www.museiresina.it/museodesio.htlm,rocca,,06 9584023,,resina,,non mibact,06 9584098
Lazio,43,,,153.0,,sistema musei in comune,roma,museo della repubblica romana e della memoria garibaldina,largo di porta s.pancrazio 9,41.888509,12.4617041,,omr,,roma,mara.minasicomune.roma.it,www.museodellarepubblicaromana.it,porta san pancrazio,c/o complesso monumentale di porta s.pancrazio,658157153,,,,non mibact,65894575
Lazio,44,,,186.0,,,roma,crypta balbi,via delle botteghe oscure 31,41.894932,12.4783617,,,,roma,laura.vendittellibeniculturali.it,www.archeoroma.beniculturali.it,,,669776728,,,,mibact,66977671
Lazio,45,,,187.0,,,roma,galleria colonna srl,piazza santi apostoli 66,41.897162,12.483499400000001,,,,roma,infogalleriacolonna.it,www.galleriacolonna.it,,,66794638,,,,non mibact,66784350
Lazio,46,,,193.0,,,roma,museo storico nazionale dellarte sanitaria,lungotevere in sassia 3,41.900853000000005,12.4630335,,,,roma,segreteria.asasgmail.com,,,,66833485,,,,non mibact,66893051
Lazio,47,,,163.0,,,roma,museo francescano dellistituto storico dei cappuccini,circonvallazione occidentale 6850,41.914376000000004,12.384941099999999,,,,roma,yteklemayahoo.com,www.istcap.org,gra km 65.50,collegio s. lorenzo da brindisi,666052532,,,,non mibact,6660521
Lazio,48,,,20.0,,,vallepietra,museo civico degli ex voto,piazza italia 2,41.926836,13.230927,,,,roma,infocomunevallepietra.it,,,municipio,774899150,,,,non mibact,774899031
Lazio,49,,,19.0,,,tivoli,villa deste,piazza trento 5,41.962238,12.796944900000002,,,,roma,villadestetivolitiscalinet.it,www.villadestetivoli.info,,,0774 318080,,,,mibact,774312070
Lazio,50,,,20.0,,,cervara di roma,museo della montagna,via verdi snc,41.988214,13.067661900000001,,omr,,roma,cervaradiroma.comunevirgilio.it,,,,774828762,,,,non mibact,774828275
Lazio,51,,,10.0,,,san polo dei cavalieri,castello baronale orsini cesi di san polo dei cavalieri,via santa lucia 4,42.009771,12.83867,,,,roma,amministrazioneenergydi.it,,,,774426249,,,,non mibact,774426133
Lazio,52,,,50.0,,,santa marinella,museo civico archeologico,via del castello di santa severa,42.017093,11.958993699999999,,omr,,roma,muspyrgitiscali.it,,santa severa,castello di santa severa,766570077,,proust,,non mibact,766570077
Lazio,53,,,18.0,,,palombara sabina,abbazia di san giovanni in argentella,via san giovanni in argentella 96,42.055555,12.752177,,,,roma,alessandraziellilibero.it,,,,77466093,,,,non mibact,77466093
Lazio,54,,,62.0,,,bracciano,castello odescalchi,piazza mazzini 14,42.104242,12.17703,,,,roma,castelloodescalchi.it,,,,699802380,,,,non mibact,699802379
Lazio,55,,,60.0,,,capena,museo civico torre dellorologio,piazza san luca 1,42.140007000000004,12.5400069,,,,roma,servizisocialicomunedicapena.it,www.comunedicapena.it,capena,via montebello,69074301,,,,non mibact,690376025
Lazio,56,,,2032.0,,,fara in sabina,museo civico archeologico di fara sabina,piazza duomo 3,42.209457,12.728759,,omr,,rieti,marialuisaagnenivirgilio.it,www.sabinideltevere.it,fara sabina,,765277321,,,,non mibact,7652779211
Lazio,57,,,2039.0,,,toffia,museo maria petrucci,via della rocca 21,42.212187,12.752794999999999,,,,rieti,petruccimariagmail.com,www.mariapetrucci.it,,,765326248,,,,non mibact,765326248
Lazio,58,,,2031.0,,,castelnuovo di farfa,museo dellolio della sabina,via perelli 1,42.231967,12.742877,,omr,,rieti,museoliosabinalibero.it,,,palazzo perelli,76536370,,musart,,non mibact,76536370
Lazio,59,,,1010.0,,,barbarano romano,museo etrusco,piazza santangelo 2,42.251118,12.0663609,,,,viterbo,,,,,,,resina,,non mibact,761414531
Lazio,60,,,1033.0,,,civita castellana,comune di civita castellana museo della ceramica casimiro marcantoni,via a. gramsci 3,42.288378,12.4153931,,,,viterbo,comune.civitacastellanalegalmail.it,www.comune.civitacastellana.vt.it,,ex chiesa di san giorgio,761517253,,,,non mibact,7615901
Lazio,61,,,2010.0,,,borgo velino,museo civico,piazza umberto i 33,42.405916,13.058259,,,,rieti,comune.borgovelinolibero.it,,borgo velino,,746578525,,musart,,non mibact,746578896
Lazio,62,,,1100.0,,sistema museale urbano di viterbo,viterbo,nuseo del colle del duomo,piazza s. lorenzo 8a,42.415647,12.101644,,omr,,viterbo,museocolledelduomolibero.it,www.museocolledelduomo.it,,,,,,,non mibact,3477010187
Lazio,63,,,2013.0,,,antrodoco,museo storico militare alpini forze armate alpino cav. emanuele galgani,via del ponte 8,42.417383,13.080082,,,,rieti,culturaesportcomunediantrodoco.it,www.comunediantrodoco.it,antrodoco,palazzo blasetti,0746 578623,,,,non mibact,0746 578185
Lazio,64,,,1011.0,,,canino,museo archeologico di vulci,,42.440952,11.6840589,,,,viterbo,sba embeniculturali.it,http//etruriameridionale.beniculturali.it,localit vulci,castello dellabbadia,0761 437787,,,,mibact,0761 437787
Lazio,65,,,1027.0,,,montefiascone,museo dellarchitettura di antonio da sangallo il giovane,piazza della rocca,42.536852,12.027624900000001,,omr,,viterbo,museosangallocomune.montefiascone.vt.it,,,rocca dei papi,0761 820884,,musart,sistema museale del lago di bolsena,non mibact,0761 832060
Lazio,66,,,1022.0,,,bagnoregio,associazione storico culturale piero taruffi,via fidanza 55,42.626948999999996,12.0974162,,,,viterbo,museotaruffilibero.it,www.museotaruffi.it,bagnoregio,,761780811,,,,non mibact,761780811
Lazio,67,,,4020.0,,,ventotene,museo della migrazione,,40.798309700000004,13.432063699999999,,omr,,latina,museoimigrazioneventotenegmail.com,,loc. il semaforo,,,,resina,,non mibact,0771 85275 / 340 5412447
Lazio,68,,,4027.0,,,ponza,museo comunale di ponza,via roma,40.8948998,12.9663529,,,,latina,,www.comune.ponza.lt.it,ponza,,771809718,,,,non mibact,77180108
Lazio,69,,,4024.0,,,gaeta,museo de centro storico culturale gaeta,via annunziata 7,41.2126028,13.580416399999999,,,,latina,centrostoriculttiscali.it,,gaeta,complesso ss. annunziata,,,,,non mibact,771464293
Lazio,70,,,4017.0,,,san felice circeo,mostra permanente homo sapiens e habitat,piazza lanzuisi 1,41.232826200000005,13.0884991,,,,latina,zeirobertolibero.it,www.fondazionemarcellozei.com,san felice circeo,c/o torre dei templari,,,,,non mibact,3477896233
Lazio,71,,,4019.0,,,terracina,museo civico archeologico pio capponi,piazza del municipio snc,41.2914632,13.248725899999998,,omr,,latina,direttoremuseocomune.terracina.lt.it,,,palazzo comunale torre frumentaria,773707278,,proust,,non mibact,0773707313 07737072
Lazio,72,,,4016.0,,,sabaudia,museo del mare e della costa m. zei,piazza verbania 1,41.2983266,13.0297036,,omr,,latina,museomarecostacomune.sabaudia.latina.it,www.comune.sabaudia.latina.it,sabaudia,,773514258,,,,non mibact,773511340
Lazio,73,,,4016.0,,,sabaudia,museo civico emilio greco,piazza del comune,41.300312100000006,13.025636500000001,,,,latina,ufficioculturacomune.sabaudia.latina.it,www.comune.sabaudia.latina.it,sabaudia,palazzo comunale,773518923,,,,non mibact,773514258
Lazio,74,,,4010.0,,,sonnino,museo delle terre di confine,via giacomo antonelli 1,41.414700200000006,13.2402083,,omr,,latina,museoterrediconfinegmail.com,,sonnino,,773908600,,demos,,non mibact,329 8880509
Lazio,75,,,4100.0,,,latina,antiquarium comunale procojo,strada foce verde 53,41.429073200000005,12.8210546,,omr,,latina,museicomune.latina.it,,borgo sabotino,,773652640,,proust,,non mibact,773655060
Lazio,76,,,42.0,,,anzio,museo civico archeologico,via di villa adele 2,41.450351700000006,12.6302093,,omr,,roma,museoarcheologicocomune.anzio.roma.it,www.regione.lazio.it/musei/anzio/index.php,anzio,villa adele,698499408,,proust,,non mibact,698499479
Lazio,77,,,48.0,,,nettuno,antiquarium comunale,via antonio gramsci 5,41.4566239,12.656026400000002,,omr,,roma,direttore.antiquariumcomune.nettuno.roma.it,http//beni culturali.provincia.roma.it/content/museo civico antiquarium comunale,,forte sangallo,,,,,non mibact,06 98889553
Lazio,78,,,4100.0,,,latina,galleria civica darte moderna e contemporanea,via umberto i 39,41.4632735,12.9056386,,omr,,latina,museicomune.latina.it,,,palazzo della cultura,773652640,,musart,,non mibact,773652624
Lazio,79,,,4100.0,,,latina,museo m. valeriani della numismatica della medaglia della grafica incisa e della fotografia,via umberto i 39/41,41.4632735,12.9056386,,,,latina,museicomune.latina.it,,,palazzo della cultura,773652640,,musart,,non mibact,773652633
Lazio,80,,,3020.0,,,vallecorsa,museo demoetnoantropologico,via g. marconi 1,41.4656446,13.336519199999998,,,,frosinone,vallecorsalibero.it,,,chiesa santantonio,775679867,,demos,,non mibact,775679017
Lazio,81,,,4100.0,,,latina,museo della terra pontina,piazza del quadrato 24,41.466362700000005,12.8986859,,,,latina,museo.terrapontinahotmail.it,,,c/o palazzo ex onc.,773400088,,,,non mibact,773400088
Lazio,82,,,3020.0,,,pastena,museo della civilta contadina e dellulivo,via porta napoli snc,41.46718320000001,13.4909669,,,,frosinone,museomuseodipastena.it,www.museodipastena.it,pastena,,776546261,,demos,,non mibact,776546006
Lazio,83,,,4015.0,,sistema museale urbano di priverno,priverno,museo civico archeologico,piazza giovanni xxiii,41.47356129999999,13.181761199999999,,omr,,latina,musarchprivernolibero.it,,priverno,palazzo valeriani guarini,773905065,,proust,sistema dei monti lepini,non mibact,773905065
Lazio,84,,,3043.0,,,cassino,museo multimediale historiale di cassino,via san marco 23,41.4838568,13.828682999999998,,,,frosinone,infomuseohistoriale.org,www.museohistoriale.org,cassino,,77622996,,,,non mibact,776313852
Lazio,85,,,3044.0,,,cervaro,museo dellarte orafa,piazza colle 1,41.4893784,13.882477100000001,,,,frosinone,servizisocialicomune.cervaro.sr.it,www.comune.cervaro.fr.it,,,776366354,,,,non mibact,776367001
Lazio,86,,,3043.0,,,cassino,museo dellabbazia di montecassino,,41.4907889,13.833377599999999,,omr,,frosinone,infoabbaziamontecassino.org,www.abbaziamontecassino.org,via montecassino,abbazia di montecassino,,,,,non mibact,0776 311529
Lazio,87,,,4018.0,,,sezze,museo diocesano,,41.4994158,13.0617578,,omr,,latina,archiviocapitolarelibero.it,,palazzo dei canonici,,,,musart,,non mibact,0773 886358 0773 6986105
Lazio,88,,,3020.0,,,castro dei volsci,museo civico archeologico,via antonino carnevale 24,41.5155229,13.402265599999998,,,,frosinone,museo archeolibero.it,,madonna del piano,edificio unico ed autonomo,775610128,,,,non mibact,775686829
Lazio,89,,,4013.0,,,sermoneta,museo della storia della ceramica,corso garibaldi,41.548769899999996,12.9868556,,,,latina,sermonetaculturavirgilio.it,,,palazzo caetani,77330010,,,,non mibact,77330151
Lazio,90,,,3030.0,,,colle san magno,museo vivo della memoria,via roma 66,41.5513756,13.6955016,,omr,,frosinone,museovivodellamemoriagmail.com,www.museovivodellamemoria.it/,,,,,,,non mibact,0776 560051
Lazio,91,,,4010.0,,,norma,museo del cioccolato antica norba,via capo dellacqua 17,41.595353100000004,12.975852699999999,,,,latina,infomuseodelcioccolato.com,www.museodelcioccolato.com,,,773353997,,,,non mibact,773354548
Lazio,92,,,3027.0,,,ripi,museo dellenergia,via merigo alto,41.6080872,13.419391899999999,,omr,,frosinone,museoenergia.direttoregmail.com,,ex mattatoio e lavatoio sec. xix,,,,resina,,non mibact,0775 285160
Lazio,93,,,3033.0,,,arpino,museo della liuteria embergher cerrone,corso tulliano 49,41.6475549,13.611157,,,,frosinone,museiciviciarpinolibero.it,www.arpinoturismo.it,arpino,palazzo felluca merolle,776848535,,,,non mibact,776849241
Lazio,94,,,3033.0,,,arpino,museo della fondazione umberto mastroianni,,41.649254299999996,13.6246954,,omr,,frosinone,infofondazionemastroianni,www.fondazionemastroianni.it,piazza caduti dellaria,castello ladislao,,,,,non mibact,0776 848105
Lazio,95,,,3042.0,,,atina,acadmie vitti,via sode 180,41.6571779,13.7389366,,omr,,frosinone,cesare.erariolibero.it,www.ciceroneweb.it,loc. ponte melfa,casa dove vissero maria e giacinta caira e cesare vitti,,,musart,,non mibact,0775 211417 398 8168855
Lazio,96,,,3029.0,,,veroli,museo dellabbazia di casamari,via mria 25,41.6677667,13.4365449,,omr,,frosinone,infoabbaziadicasamari.it mariaromanapicutialice.it,www.casamari.it,casamari,abbazia di casamari,0775 281020,,proust,,non mibact,0775 282371
Lazio,97,,,40.0,,,lanuvio,museo civico lanuvino,piazza della maddalena 16,41.6759901,12.69766,,omr,,roma,culturalanuvio.comnet.roma.it,,lanuvio,piano terra del palazzo comunale,693789229,,proust,sistema museale dei castelli romani e prenestini museumgrandtour,non mibact,693789237
Lazio,98,,,49.0,,sistema museale urbano di velletri,velletri,museo civico di geopaleontologia e preistoria dei colli albani,via g. mameli 4,41.6861964,12.7770369,,omr,,roma,museo.civicocomune.velletri.rm.it,www.velletrimusei.it,velletri,palazzo comunale,696158239,,proust,,non mibact,696158268
Lazio,99,,,3029.0,,,veroli,museo delle erbe dei monti ernici,piazza mazzoli 10,41.6907002,13.4178082,,,,frosinone,segreteria.verolilibero.it,www.comune.veroli.fr.it,,,775230914,,,,non mibact,775237081
Lazio,100,,,3029.0,,,veroli,museo del duomo,piazza duomo 3,41.6909908,13.4176301,,,,frosinone,giup64infinito.it,,,,775237020,,,,non mibact,775237020
Lazio,101,,,3046.0,,,san donato val di comino,museo geologico territoriale,via roma 3,41.706826899999996,13.813978,,,,frosinone,infocomune.sandonatovaldicomino.fr.it,,,,776508918,,,,non mibact,776508701
Lazio,102,,,34.0,,,colleferro,museo archeologico del territorio toleriense,via carpinetana sud 144,41.7219513,13.0115765,,omr,,roma,museocomune.colleferro.rm.it,,colleferro,,69781169,,proust,,non mibact,69781169
Lazio,103,,,41.0,,,albano laziale,museo civico archeologico di villa ferraioli,viale risorgimento 3,41.7268192,12.661449800000002,,omr,,roma,museocomune.albanolaziale.rm.it,,albano,villa ferraioli,69325759,,,sistema museale dei castelli romani e prenestini museumgrandtour,non mibact,69323490
Lazio,104,,,31.0,,,artena,museo del collegio francescano,via del convento 83,41.739098600000005,12.907743400000001,,omr,,roma,infoconvento francescano artena.it,http//beni culturali.provincia.roma.it/content/museo del collegio francescano santa maria del gesc3b9,,convento di santa maria del ges,06 9519408,,,,non mibact,06 951911
Lazio,105,,,31.0,,,artena,museo civico archeologico r.lamrechts,via fleming 20,41.742762799999994,12.9113366,,,,roma,servizio3comune.artena.rm.it,www.comune.artena.rm.it,,granaio borghese,69515119,,,,non mibact,0695199051 95191074
Lazio,106,,,119.0,,,roma,castello di giulio ii,piazza della rocca,41.7596893,12.3014406,,,,roma,,,borgo ostia antica,,,,,,mibact,
Lazio,107,,,40.0,,,rocca di papa,museo geofisico,via dellosservatorio 42,41.759879299999994,12.7100771,,omr,,roma,museoroccadipapaingv.it,,rocca di papa,osservatorio geodinamico,69496230,,resina,sistema museale dei castelli romani e prenestini museumgrandtour,non mibact,69496230
Lazio,108,,,119.0,,,roma,scavi di ostia antica e museo,viale dei romagnoli 717,41.7605709,12.3029256,,,,roma,ssba rm.osanbeniculturali.it,,ostia antica,,06 5651500,,,,mibact,06 56358099
Lazio,109,,,54.0,,,fiumicino,basilica di s. ippolito e annesso antiquarium,via redipuglia,41.76978270000001,12.268536300000001,,,,roma,,,angolo col moschin isola sacra fiumicino,,65651500,,,,mibact,656358043
Lazio,110,,,54.0,,,fiumicino,area archeologica del porto di traiano,via portuense,41.7742693,12.2517063,,,,roma,,,,,,,,,mibact,66529192
Lazio,111,,,38.0,,,valmontone,museo di palazzo doria pamphilj,piazza umberto pilozzi 9,41.776190899999996,12.9184242,,omr,,roma,culturacomune.valmontone.rm.gov.it,,,palazzo doria pamphilj,,,,sistema museale dei castelli romani e prenestini museumgrandtour,non mibact,695990229
Lazio,112,,,185.0,,,roma,museo nazionale romano terme di diocleziano,vie e. de nicola,41.7762721,12.612344300000002,,,,roma,rosanna.friggeribeniculturali.it,www.archeoroma.beniculturali.it,stazione termini,,64814190,,,,mibact,6477881
Lazio,113,,,36.0,,,palestrina,museo diocesano prenestino di arte sacra,via roma 23,41.7894554,12.8802041,,omr,,roma,museodiocesanodiocesipalestrina.it,,,,69538116,,,sistema museale dei castelli romani e prenestini museumgrandtour,non mibact,69534428
Lazio,114,,,44.0,,,frascati,museo etiopico g. massaia,via cardinale massaia 26,41.804533500000005,12.6838738,,omr,,roma,proriviin.it capfrasosmcap.org,,,convento dei cappuccini,,,,,non mibact,694010439
Lazio,115,,,44.0,,,frascati,museo tuscolano scuderie aldobrandini,piazza guglielmo marconi 6,41.8060816,12.680226,,omr,,roma,eventicomune.frascati.rm.it,www.scuderiealdobrandini.org,,,69417195,,,sistema museale dei castelli romani e prenestini museumgrandtour,non mibact,69417195
Lazio,116,,,40.0,,,monte porzio catone,inaf osservatorio astronomico di roma,via frascati 33,41.8132765,12.7067238,,,,roma,divaoa roma.inaf.it,www.webdiva2.oa roma.inaf.it,monte porzio catone,c/o osservatorio astronomico,69449446,,,,non mibact,694286427
Lazio,117,,,40.0,,sistema museale urbano di monte porzio catone,monte porzio catone,museo della citta,via simone pomardi 1,41.81555170000001,12.713924699999998,,omr,,roma,museicomune.monteporziocatone.rm.it,www.comune.monteporziocatone.rm.it,monte porzio catone,c/o chiesa,69447471,,proust,sistema museale dei castelli romani e prenestini museumgrandtour,non mibact,694341031
