,categoria,provincia,comune,denominazione,indirizzo,telefono,orari,biglietto intero,biglietto ridotto,note,scheda
10,musei etnoantropologici,messina,mistretta,museo delle tradizioni silvo pastorali di mistretta,via libert 184,0921381696 temporaneamente disattivato,"fino al 30 aprile aperto da marted a sabato, dalle 9,00 alle 13,00. da maggio aperto da marted a domenica 9,00 13,00. 1 maggio aperto.",gratuito,gratuito,"per la disattivazione delle linee telefoniche di rete fissa, le comunicazioni al museo potranno essere inviate alle caselle polomuseale.me.uo3regione.sicilia.it e museo.messina.uo3regione.sicilia.it",http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid6ampidsito127
11,monumentale,palermo,palermo,real albergo dei poveri,corso calatafimi 217,091422314,"da marted a sabato, dalle 9.30 alle 18,30. domeniche e festivi dalle 9,30 alle 13,30. luned chiuso",,,"sede espositiva per mostre temporanee, dipendente dal polo regionale di palermo per i parchi e i musei archeologici",http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid171ampidsito131
12,aree archeologiche,palermo,palermo,villino florio e giardino,via regina margherita,0917025471 0917071425,da marted a sabato dalle 9.00 alle 13.00. prima domenica del mese ingresso gratuito dalle 9.00 alle 13.30 chiusura biglietteria 30 minuti prima. luned chiuso,gratuito,gratuito,,http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid176ampidsito119
13,monumentale,palermo,palermo,chiostro di san giovanni degli eremiti,via dei benedettini 20,0917071425 0916515019 0917071411,"da luned a sabato 9,00 19,00 ultimo ingresso 18,30 domenica e festivi 9,00 13,30 ultimo ingresso 13,00","6,00","3,00",prima domenica del mese ingresso gratuito,http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid48ampidsito58
14,monumentale,messina,villafranca tirrena,castello di bauso,piazza castello,090334948,da luned a venerd dalle 9 alle 13. mercoled dalle 15.30 alle 17.30. domenica e festivi su prenotazione. rivolgersi alla pro loco 3933687036 o allufficio del turismo 0903310311,gratuito,gratuito,,
15,aree archeologiche,enna,piazza armerina,museo regionale della villa romana del casale a piazza armerina,"piazza armerina, piazza cattedrale 20 palazzo trigona",0935687667,non aperto al pubblico,,,museo in allestimento. per informazioni urpmuseo.casaleregione.sicilia.it oppure visita www.villaromanadelcasale.it.,http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid39ampidsito124
16,aree archeologiche,palermo,cefala diana,bagni di cefal diana,cefal diana seguire indicazioni,0917071425 rangers 0918291551,"gioved e sabato 9,00 19,00 marted, mercoled e venerd 9,00 14,00. prima domenica del mese 9.00 13.30. ultimo ingresso 30 minuti prima della chiusura. luned chiuso",gratuito,gratuito,,http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid324ampidsito156
17,aree archeologiche,agrigento,licata,area archeologica di monte santangelo e castel santangelo,zona archeologica di castel santangelo licata,0922772602,"da luned al sabato dalle ore 9,00 alle ore 13,30. tutte le domeniche e le festivit chiusura totale",gratuito,gratuito,,http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid160ampidsito14
18,parco naturalistico,messina,taormina,giardino di villa caronia,via pirandello 107 taormina sicily italy,direzione tel 0942628738 fax 0942628738,www.parconaxostaormina.it aperto da lunedi a venerdi dalle 9.30 alle 13.30 chiuso sabato e domenica.,gratuito,gratuito,audio tour link izi.travel https//izi.travel/it/italia/guide di citta in sicilia taorminascarica app su izitravel,
19,aree archeologiche,agrigento,licata,area archeologica di licata,contrada stagnone pontillo,0922772602,"nei giorni 16 aprile, 17 aprile, 23 aprile, 25 aprile, 30 aprile, 1 maggio 2017 larea archeologica rimarr chiusa",gratuito,gratuito,,http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid157ampidsito11
20,zone archeologiche e antiquarium,messina,patti,area archeologica teatro antico e antiquarium di tindari,via del teatro greco localit tindari,0941369023,"maggio, giugno, luglio e agosto ore 0900/1900. dal 1 al 15 settembre ore 0900/1830 dal 16 al 30 settembre ore 0900/1800.","6,00","3,00","dal 1 settembre 2015 istituito il biglietto unico per la visita della villa romana di patti marina e dellarea archeologica di tindari tariffa intera di 8,00 e ridotta di 4,00, la cui validit di tre giorni dalla data di emissione.",http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid46ampidsito48
21,aree archeologiche,catania,adrano,mura dionigiane,via catania,3315771468,in atto chiuse al pubblico,ingresso libero,ingresso libero,,http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid167ampidsito36
22,musei archeologici,ragusa,ragusa,museo regionale di kamarina,s.p. 102 km.1 c.da cammarana ragusa. indirizzo postale 97019 scoglitti rg c.p. n.60. mail museo.camarinaregione.sicilia.it,0932 826004,aperto tutti i giorni feriali dalle 9.00 alle 14.00 e dalle 15.00 alle 19.00. apertura festiva solo la prima domenica del mese,"4,00","2,00",dipende dal polo regionale di ragusa per i siti archeologici e per i parchi archeologici di kamarina e cava ispica,http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid29ampidsito121
23,antiquaria,agrigento,ravanusa,zona archeologica,monte saraceno ravanusa,centralino soprintendenza bb.cc.aa. di agrigento 0922552611,"giorni ferialiaperto tutti i giorni dalle 8,30 alle 19.domeniche e festivit infrasettimanalechiuso",gratuito,gratuito,,http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid327ampidsito161
24,musei e gallerie,agrigento,agrigento,biblioteca museo regionale luigi pirandello di agrigento,casa natale di luigi pirandello contrada caos villaseta,0922511826 e mail polomuseale.ag.uo3regione.sicilia.it,"aperta dal luned al sabato dalle 9,00 alle 13,30 e dalle 14,30 alle 19,30 ultimo ingresso mezzora prima della chiusura. domenica e festivi dalle 9,00 alle 13,30.prima domenica del mese ingresso gratuito.","4,00","2,00","il 6 luglio 2017 la casa natale sar aperta al pubblico soltanto dalle 9,00 alle 13,30 ultimo ingresso mezzora prima della chiusura. chiusura al pubblico dalle ore 14,00.",http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid1ampidsito6
25,musei archeologici e zone archeologiche,palermo,lercara friddi,parco archeologico industriale e museo della zolfara di lercara friddi,via vittorio emanuele iii 52 villa rose gardner,091 8252212 3346476411,"chiuso, in allestimento",,,,http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid316ampidsito153
26,aree archeologiche,catania,catania,terme della rotonda,via della mecca,095/7150508 polomuseale.ctregione.sicilia.it poloregionalect.urpregione.sicilia.it,tutti i mercoled e tutte le domeniche dalle ore 9.00 alle 13.00.,gratuito,gratuito,,http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid150ampidsito33
27,antiquaria,agrigento,sambuca di sicilia,antiquarium di monte adranone,antiquarium palazzo panitteri e zona archeologica monte adranone in sambuca di sicilia,0925946083,"orario di apertura al pubblico da marted al sabato dalle 8,00 alle 19,30. la prima domenica di ogni mese apertura al pubblico dalle 8,00 alle 14,00. tutti i luned, le altre domeniche e le festivit chiusura totale","6,00","3,00",il museo archeologico palazzo panitteri gestito dal comune di sambuca di sicilia.il biglietto comprende lingresso a monte adranone palazzo panitteri in sambuca di sicilia e antiquarium di monte kronio in sciacca.,http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid156ampidsito13
28,aree archeologiche,catania,catania,terme romane dellindirizzo,piazza curr,095/7150508 polomuseale.ctregione.sicilia.it poloregionalect.urpregione.sicilia.it,le terme romane dellindirizzo sono visitabili su prenotazione,gratuito,gratuito,,http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid151ampidsito31
29,antiquaria,agrigento,sciacca,antiquarium di monte kronio stufe di s. calogero,monte cronio sciacca,092528989,"da luned a venerd dalle 9 alle 19.30. sabato dalle 9 alle 13.30. la prima domenica di ogni mese apertura al pubblico dalle 9.00 alle 13.00.tutte le altre domeniche, comprese le festivit, chiusura totale","4,00","2,00","e possibile acquistare il biglietto cumulativo intero 6,00, ridotto 3,00 per la visita di monte adranone e palazzo panitteri in sambuca di sicilia e antiquarium di monte kronio in sciacca.",http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid155ampidsito95
30,musei archeologici,messina,lipari,museo archeologico regionale bernabo brea a lipari,"via del castello, 2 98055 lipari",0909880174/594 fax 0909880175,"aperto tutti i giorni feriali dalle 9,00 alle 19,30 ultimo ingresso ore 18,30. domenica e festivi aperto dalle 9,00 alle 13,30.","6,00","3,00",ingresso gratuito nella prima domenica di ogni mese.,http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid26ampidsito45
31,aree archeologiche,enna,aidone,area archeologica di morgantina,contrada morgantina,093587955,"aperta tutti i giorni, compresi i festivi, dalle 11,00 alle 19,00,orario continuatoultimo ingresso alle ore 18.00","6,00","3,00","vendita biglietti ridotti e cumulativi di due o tre siti tra area di morgantina, museo di aidone e villa del casale.",http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid40ampidsito41
32,musei archeologici,agrigento,ravanusa,museo archeologico salvatore lauricella,corso della repubblica 27 ravanusa,comune di ravanusa ag,"tutti i giorni dalle 8,30 alle 13,30 con esclusione dei giorni festivi",gratuito,gratuito,,http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid328ampidsito173
33,aree archeologiche,agrigento,agrigento,valle dei templi di agrigento,"via panoramica dei templi, snc casa sanfilippo",vedi sito internet del parco archeologico,vedi sito internet del parco archeologico,"10,00","5,00",,http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid34ampidsito8
34,aree archeologiche,siracusa,palazzolo acreide,area archeologica di akrai,colle dellacromonte,0931876602,"tutti i giorni dalle 8,30 alle 19.00 chiusura biglietteria 18.00","4,00","2,00","biglietto cumulativo con casa museo uccello 5.00 ridotto 2,50",http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid56ampidsito85
35,monumentale,agrigento,agrigento,santa maria dei greci,via santa maria dei greci,centralino soprintendenza bb.cc.aa. di agrigento 0922552611,"giorni ferialiaperto tutti i giorni dalle 8,30 alle 19aperto la prima domenica del mese dalle 8,30 alle 13,30 il luned successivo dalle 8,30 alle 13,30",gratuito,gratuito,si comunica che il sito rester chiuso giorno 14 luglio 2017 per intervento di disinfestazione e derattizzazione,
36,musei archeologici,enna,enna,museo regionale interdisciplinare di enna,piazza mazzini 8,09355076304 fax 09355076323,"da luned a sabato, dalle 9,00 alle 18,00 uscita entro le 19.00. festivi soltanto la prima domenica del mese, con ingresso sempre gratuito.",gratuito,gratuito,dall8 gennaio per le avverse condizioni meteorologiche il museo aprir soltanto in orario antimeridiano sino a nuova comunicazione,http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid21ampidsito39
37,aree archeologiche,messina,tusa,area archeologica halaesa arconidea,contrada santa maria delle palate,"si informa che per la temporanea disattivazione delle linee telefoniche di rete fissa, le comunicazioni potranno essere inviate alle caselle polomuseale.me.uo3regione.sicilia.it e museo.messina.uo3regione.sicilia.it","orario di apertura da marted a domenica dalle 9,00 alle 18,30. orario biglietteria 9,00/18,00",gratuito,gratuito,giorni 8 e 9 maggio 2017 il sito sar chiuso al pubblico per disinfestazione.,http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid45ampidsito52
38,aree archeologiche,caltanissetta,caltanissetta,area archeologica gibil gabib,contrada gibil gabib,0934554964,visitabile su prenotazione inviando richiesta a sopriclregione.sicilia.it,gratuito,gratuito,per ragioni di sicurezza il sito non temporaneamente visitabile.,http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid163ampidsito18
39,aree archeologiche,trapani,castelvetrano,area archeologica selinunte,via selinunte,092446277,"apertura alle 9,00. dal 1 marzo chiusura alle ore 17.00 uscita entro le 18.00. dal 26 marzo chiusura alle ore 18.00 uscita entro le 19.00.","6,00","3,00","modalit di pagamento ingresso alle aree del parco contanti allo sportello della biglietteria, pos allo sportello della biglietteria bonifico bancario istruzioni sulla pagina del parco",http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid58ampidsito92
40,aree archeologiche e antiquarium,caltanissetta,caltanissetta,area archeologica e antiquarium di sabucina,contrada sabucina,0934554964,visitabile su prenotazione inviando richiesta a sopriclregione.sicilia.it,gratuito,gratuito,per ragioni di sicurezza il sito non temporaneamente visitabile.,http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid36ampidsito17
41,aree archeologiche e antiquarium,palermo,santa flavia,area archeologica e antiquarium di solunto,via collegio romano localit solunto,ufficio amministrativo 091905043 area parco archeologico 091909339,dalle 9.30 alle 19.30. domenica e festivi dalle 9.30 alle 13.30. luned chiuso. ultimo ingresso sempre unora prima.,"4,00","2,00",dipende dal polo regionale di palermo per i parchi e i musei archeologici. la prima domenica di ogni mese lingresso gratuito.,http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid51ampidsito62
42,musei archeologici,enna,centuripe,museo archeologico regionale di centuripe,via ss. crocifisso 1,093573079,tutti i giorni dalle 9.00 alle 19.00.,gratuito,gratuito,,http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid317ampidsito154
43,aree archeologiche,messina,taormina,teatro greco romano di taormina,via del teatro greco 40 taormina sicily italy,direzione 0942 628738 / biglietteria teatro 094223220 / uffici teatro 094224291,"aperto tutti i giorni dalle 9.00 ad unora prima del tramontowww.parconaxostaormina.it, vedi orari e modalit di visita.","10,00","5,00",audio tourlink izi.travel https//izi.travel/it/italia/guide di citta in sicilia taorminascarica app su izitravel,http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid43ampidsito50
44,aree archeologiche,palermo,caccamo,castello medievale di caccamo,via del castello,ufficio turismo tel. 0918103207/221 turismocomune.caccamo.pa.itbiglietteria castello tel. 091/8149252castellocomune.caccamo.pa.it,"da marted a domenica, dalle 9.00 alle 13.00 e dalle 15.00 alle 19","4,00","2,00",,http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid325ampidsito130
45,monumentale,palermo,palermo,convento della magione,piazza magione,0917071425 0917071411,"marted e sabato ore 9,00 19,00 ultimo ingresso ore 18,30 luned, mercoled, gioved, venerd ore 9,00 13,30 ultimo ingresso ore 13,00 domenica e festivi chiuso",gratuito,gratuito,,http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid97ampidsito111
46,monumentale,palermo,palermo,giardino di villa napoli e piccola cuba,via f. speciale,3346001743 0917071425,visitabile su prenotazione,gratuito,gratuito,,http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid12ampidsito109
47,aree archeologiche,palermo,palermo,area archeologica monumentale di castello a mare,via crispi ingresso via patti,0917071317/411,"da marted a sabato, dalle 9.30 alle 18,30. domeniche e festivi dalle 9,30 alle 13,30. luned chiuso","2,00","1,00",dipende dal polo regionale di palermo per i parchi e i musei archeologici.,http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid92ampidsito59
48,musei archeologici,agrigento,licata,museo archeologico regionale della badia,via dante 12 licata,0922 772602,"da marted al sabato dalle ore 9,00 alle ore 13,00. il gioved e il sabato apertura anche il pomeriggio dalle ore 16,00 alle ore 18,00. tutte le domeniche, i luned e le festivit chiusura totale",gratuito,gratuito,,http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid17ampidsito10
49,aree archeologiche,catania,mineo,area archeologica di palike,contrada rocchicella,3315771468,"chiusa luned, domenica e festivi. aperta da marted a sabato dalle 9 alle 13.00 mercoled dalle 9 alle alle 17.30.",gratuito,gratuito,"giorno 17 maggio 2017, in occasione della festa del santo patrono a mineo, il sito archeologico di palik rimarr chiuso",http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid38ampidsito37
50,musei e gallerie,palermo,palermo,castello della favara a maredolce,via giafar svincolo porto,0917071425 3357957161,"aperto da luned a sabato e ogni prima domenica del mese, con i seguenti orari luned, mercoled, gioved, venerd e prima domenica dalle 9 alle 13, marted e sabato dalle 9 alle 18.30",gratuito,gratuito,"il sito sar chiuso al pubblico dal 20 giugno al 4 luglio 2017 per lo svolgimento del workshop internazionale maredolce la favara. un nuovo paesaggio per brancaccio, palermo.",http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid173ampidsito134
51,aree archeologiche,palermo,palermo,castello della cuba e necropoli punica,corso calatafimi 100,0917071425 091590299,"da luned a sabato ore 9,00 19,00 ultimo ingresso 18,30, domenica e festivi chiuso. prima domenica del mese ingresso gratuito ore 9,00 13,30 ultimo ingresso 13,00. pasqua, luned dellangelo e 25 aprile chiusura","2,00","1,00","necropoli punica pasqua, pasquetta, 25 aprile e 1 maggio aperto dalle 9.30 dalle 13.30.",http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid47ampidsito57
52,musei archeologici,caltanissetta,marianopoli,museo archeologico regionale di marianopoli,viale regione siciliana,0934554964,giugno luglio da marted a domenica dalle ore 9.00 alle ore 13.00 e dalle ore 15.30 alle ore 19.00chiuso tutti i luned,gratuito,gratuito,,http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid20ampidsito26
53,musei e gallerie,palermo,palermo,museo regionale palazzo mirto,"via merlo 2, palermo",tel e fax 0916164751 tel 0916167541e mail polomuseale.pa.uo4regione.sicilia.ithttps//www.facebook.com/pages/casa museo palazzo mirto/265051623703706,"luned chiusura settimanale. da marted a sabato 9,00 18,00 domenica e festivi 9,00 13,00. la prima domenica di ogni mese ingresso gratuito. 26 e 27 giugno chiusura per disinfestazione","6,00","3,00","biglietto cumulativo 10,00 vaidit 3 giorni per palazzo mirto, palazzo abatellis, oratorio dei bianchi.",http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid10ampidsito55
54,musei e gallerie,palermo,palermo,oratorio dei bianchi,piazzetta dei bianchi,telefono 0916173080 fax 0916165305 mailpolomuseale.paregione.sicilia.iturp 0916230068,dal marted alla domenica 10.00 13.30 / 16.30 20.00 luned chiuso.orario valido esclusivamente per il periodo della mostra,"8,00","6,00",mostra serpotta e il suo tempo 23 giugno 1 ottobre 2017info e prenotazioni 0918887767,http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid142ampidsito113
55,monumentale,palermo,palermo,casina cinese,via duca degli abruzzi,091 7071317/411,da marted a sabato dalle 9.00 alle 19.00 chiusura biglietteria 30 minuti prima. aperta prima domenica del mese dalle 9.00 alle 13.30.,gratuito,gratuito,"prima domenica del mese ingresso gratuito ore 9,00 13,30",http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid141ampidsito133
56,aree archeologiche e antiquarium,siracusa,augusta,area archeologica e antiquarium di megara hyblaea,contrada megara giannalena,09314508211,"dal luned al sabato dalle 8,30 alle 19,00 chiusura biglietteria 18,00. festivi 2 luglio apertura 8.30 19.00chiusura biglietteria 18.00, altre domeniche 8.30 13.30 chiusura biglietteria 13,00","4,00","2,00",,http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid95ampidsito79
57,aree archeologiche,trapani,pantelleria,area archeologica dellantica cossyra,contrada mursia,0923808111,,gratuito,gratuito,,http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid184ampidsito108
58,musei archeologici,siracusa,siracusa,museo archeologico regionale paolo orsi di siracusa,viale teocrito 66,0931489511 fax 0931489532apertura straordinaria luned 24 aprile e 1 maggio ore 9 14,"luned chiusura. da marted a sabato dalle 9.00 alle 19.00. festivi dalle 9.00 alle 14.00. ultimo ingresso unora prima. orari numismatica da marted a sabato dalle 9.00 alle 13.30, mercoled dalle 9.00 alle 17.30.","8,00","4,00","lacquisto di biglietti non pu pi essere effettuato tramite bonifico sul contocorrente dellamministrazione regionale. per informazioni rivolgersi al concessionario thekey srl, amministrazionethekeygroup.eu",http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid30ampidsito71
59,aree archeologiche,messina,milazzo,antiquarium di milazzo,via impallomeni 16,0909223471,da marted al sabato ore 0900/1900 festivi e lunedi ore 0900/1300.,gratuito,gratuito,,http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid191ampidsito152
60,aree archeologiche,ragusa,ragusa,area archeologica agora,"s.p. 102 km.1,5",0932 826004,chiusa per lavori di messa in sicurezza,unico con museo di kamarina,unico con museo di kamarina,,http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid177ampidsito125
61,aree archeologiche,siracusa,carlentini,area archeologica di leontinoi,contrada san mauro carlentini,0957832962 presso museo,"marted, gioved dalle 8.30 alle 13.45 chiusura biglietteria ore 13.00.gioved 27 e festivi chiuso",gratuito,gratuito,,http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid180ampidsito81
62,aree archeologiche,caltanissetta,gela,area archeologica bosco littorio emporio greco di gela,localit bosco littorio,0933912626,chiuso temporaneamente,,,,http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid146ampidsito24
63,monumentale,messina,montalbano elicona,castello di montalbano elicona,via castello,"09036746433, urp della soprintendenza di messina",da luned a venerdi dalle ore 0900 alle ore 1300 e dalle ore 1400 alle ore 1800.nei festivi dalle ore 0900 alle ore 1800 open day.lapertura sar prolungata nel periodo estivo,"3,00","1,50","nei giorni di chiusura visitabile su prenotazione, tramite ufficio del turismo del comune 0941678019 0941670081",
64,aree archeologiche,palermo,palermo,castello della zisa,piazza zisa,0916520269 0917071411,"da luned a sabato 9,00 19,00 ultimo ingresso 18,30 domenica e festivi 9,00 13,30 ultimo ingresso 13,00","6,00","3,00",,http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid11ampidsito56
65,aree archeologiche,catania,catania,anfiteatro romano di catania,piazza stesicoro,095/7150508 polomuseale.ctregione.sicilia.it poloregionalect.urp.regione.sicilia.it,da marted a sabato dalle ore 9.00 alle ore 13.00 e dalle ore 14.30 alle ore 19.00.giorni di chiusuraluned e domenica.,gratuito,gratuito,,http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid147ampidsito28
66,aree archeologiche,trapani,favignana,grotta del genovese levanzo,,0923808111,visitabile su prenotazione,gratuito,gratuito,previa prenotazione escluso i festivi. la visita dura 2 ore ed guidata,http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid190ampidsito90
67,musei archeologici,trapani,marsala,museo archeologico regionale lilibeo marsala baglio anselmi,lungomare boeo 30 91025 marsala,0923 952535 per le visite su prenotazione rivolgersi al personale o telefonare allo 0923 952535,"museo marted, domenica e festivi ore 9.00 13.30 ultimo 12.30 da mercoled a sabato 9.00 18.30 ultimo 17.30. area archeologica marted, domenica e festivi 9.00 12.30 da mercoled a sabato 9.00 17.30 ultimo 16.30. chiusura il luned","4,00","2,00",grotta della sibilla da marted a venerd 9.00 13.00 visite su richiesta.ipogeo crispia salvia da marted a venerd 9.00 13.00 visite su prenotazione.chiusura il luned. orari in vigore dal 18 aprile 2017,http//www.regione.sicilia.it/beniculturali/dirbenicult/database/page musei/pagina musei.aspid32ampidsito88
