,Comune,Provincia,Statale Æ’?? Non statale,OMR,Sistema museale territoriale,Sistema museale urbano,Sistema museale tematico,Casa museo,Q1.1_SA_DENOMINAZIONE_MUSEO_ISTITUTO,Q1.2_SA_INDIRIZZO_MUSEO_ISTITUTO,Q1.3_SA_LOCALITA_MUSEO_ISTITUTO,Q1.4_SA_UBICAZIONE/EDIFICIO_MUSEO_ISTITUTO,Cap,Q1.8_SA_TELEFONO_MUSEO_ISTITUTO,Q1.9_SA_FAX_MUSEO_ISTITUTO,Q1.10_SA_EMAIL_MUSEO_ISTITUTO,Q1.11_SA_SITO WEB_MUSEO_ISTITUTO,latitudine,longitudine
63,Antrodoco,Rieti,Non MIBACT,,,,,,MUSEO STORICO MILITARE ALPINI - FORZE ARMATE - ALPINO CAV. EMANUELE GALGANI,VIA DEL PONTE; 8,ANTRODOCO,PALAZZO BLASETTI,2013.0,0746-578185,0746-578623,culturaesport@comunediantrodoco.it,www.comunediantrodoco.it,42.417383,13.080082
64,Canino,Viterbo,MIBACT,,,,,,Museo Archeologico di Vulci,-,LocalitÃ‡Ã¿ Vulci,Castello dell'Abbadia,1011.0,0761 437787,0761 437787,sba-em@beniculturali.it,http://etruriameridionale.beniculturali.it,42.440952,11.6840589
65,Montefiascone,Viterbo,Non MIBACT,OMR,Sistema museale del lago di Bolsena,,MUSART,,Museo dell'architettura di Antonio da Sangallo il Giovane,piazza della Rocca,,Rocca dei papi,1027.0,0761 832060,0761 820884,museosangallo@comune.montefiascone.vt.it,,42.536852,12.027624900000001
66,Bagnoregio,Viterbo,Non MIBACT,,,,,,ASSOCIAZIONE STORICO CULTURALE 'PIERO TARUFFI',VIA FIDANZA; 55,BAGNOREGIO,-,1022.0,761780811,761780811,museotaruffi@libero.it,www.museotaruffi.it,42.626948999999996,12.0974162
67,Ventotene,Latina,Non MIBACT,OMR,,,RESINA,,museo della migrazione,,loc. il semaforo,,4020.0,0771 85275 / 340 5412447,,museoimigrazioneventotene@gmail.com,,40.798309700000004,13.432063699999999
68,Ponza,Latina,Non MIBACT,,,,,,MUSEO COMUNALE DI PONZA,VIA ROMA,Ponza,-,4027.0,77180108,771809718,-,www.comune.ponza.lt.it,40.8948998,12.9663529
69,Gaeta,Latina,Non MIBACT,,,,,,MUSEO DE CENTRO STORICO CULTURALE GAETA,via Annunziata; 7,GAETA,COMPLESSO SS. ANNUNZIATA,4024.0,771464293,-,centrostoricult@tiscali.it,-,41.2126028,13.580416399999999
70,San Felice Circeo,Latina,Non MIBACT,,,,,,MOSTRA PERMANENTE HOMO SAPIENS E HABITAT,PIAZZA LANZUISI; 1,SAN FELICE CIRCEO,C/O TORRE DEI TEMPLARI,4017.0,3477896233,-,zeiroberto@libero.it,www.fondazionemarcellozei.com,41.232826200000005,13.0884991
71,Terracina,Latina,Non MIBACT,OMR,,,PROUST,,museo civico ARCHEOLOGICO 'PIO CAPPONI',PIAZZA DEL MUNICIPIO; SNC,-,PALAZZO COMUNALE - TORRE FRUMENTARIA,4019.0,0773707313  07737072,773707278,direttoremuseo@comune.terracina.lt.it,-,41.2914632,13.248725899999998
72,Sabaudia,Latina,Non MIBACT,OMR,,,,,MUSEO DEL MARE E DELLA COSTA 'M. ZEI',PIAZZA VERBANIA; 1,Sabaudia,-,4016.0,773511340,773514258,museomarecosta@comune.sabaudia.latina.it,www.comune.sabaudia.latina.it,41.2983266,13.0297036
73,Sabaudia,Latina,Non MIBACT,,,,,,museo civico EMILIO GRECO,PIAZZA DEL COMUNE,Sabaudia,PALAZZO COMUNALE,4016.0,773514258,773518923,ufficiocultura@comune.sabaudia.latina.it,www.comune.sabaudia.latina.it,41.300312100000006,13.025636500000001
74,Sonnino,Latina,Non MIBACT,OMR,,,DEMOS,,MUSEO DELLE TERRE DI CONFINE,VIA GIACOMO ANTONELLI; 1,Sonnino,-,4010.0,329 8880509,773908600,museoterrediconfine@gmail.com,-,41.414700200000006,13.2402083
75,Latina,Latina,Non MIBACT,OMR,,,PROUST,,ANTIQUARIUM COMUNALE PROCOJO,STRADA FOCE VERDE; 53,BORGO SABOTINO,-,4100.0,773655060,773652640,musei@comune.latina.it,-,41.429073200000005,12.8210546
76,Anzio,Roma,Non MIBACT,OMR,,,PROUST,,museo civico ARCHEOLOGICO,VIA DI VILLA ADELE; 2,Anzio,Villa Adele,42.0,698499479,698499408,museoarcheologico@comune.anzio.roma.it,www.regione.lazio.it/musei/anzio/index.php,41.450351700000006,12.6302093
77,Nettuno,Roma,Non MIBACT,OMR,,,,,Antiquarium comunale,via Antonio Gramsci 5,,Forte Sangallo,48.0,06 98889553,,direttore.antiquarium@comune.nettuno.roma.it,http://beni-culturali.provincia.roma.it/content/museo-civico-antiquarium-comunale,41.4566239,12.656026400000002
78,Latina,Latina,Non MIBACT,OMR,,,MUSART,,GALLERIA CIVICA D'ARTE MODERNA E CONTEMPORANEA,VIA UMBERTO I; 39,-,PALAZZO DELLA CULTURA,4100.0,773652624,773652640,musei@comune.latina.it,-,41.4632735,12.9056386
79,Latina,Latina,Non MIBACT,,,,MUSART,,MUSEO 'M. VALERIANI' DELLA NUMISMATICA; DELLA MEDAGLIA; DELLA GRAFICA INCISA E DELLA FOTOGRAFIA,VIA UMBERTO I; 39/41,-,PALAZZO DELLA CULTURA,4100.0,773652633,773652640,musei@comune.latina.it,-,41.4632735,12.9056386
80,Vallecorsa,Frosinone,Non MIBACT,,,,DEMOS,,MUSEO DEMOETNOANTROPOLOGICO,VIA G. MARCONI; 1,-,Chiesa Sant'Antonio,3020.0,775679017,775679867,vallecorsa@libero.it,-,41.4656446,13.336519199999998
81,Latina,Latina,Non MIBACT,,,,,,MUSEO DELLA TERRA PONTINA,PIAZZA DEL QUADRATO 24,-,c/o Palazzo ex ONC.,4100.0,773400088,773400088,museo.terrapontina@hotmail.it,-,41.466362700000005,12.8986859
82,Pastena,Frosinone,Non MIBACT,,,,DEMOS,,MUSEO DELLA CIVILTA' CONTADINA E DELL'ULIVO,VIA PORTA NAPOLI; SNC,Pastena,-,3020.0,776546006,776546261,museo@museodipastena.it,www.museodipastena.it,41.46718320000001,13.4909669
83,Priverno,Latina,Non MIBACT,OMR,Sistema dei Monti Lepini,Sistema museale urbano di Priverno,PROUST,,museo civico ARCHEOLOGICO,Piazza Giovanni XXIII,Priverno,Palazzo Valeriani Guarini,4015.0,773905065,773905065,musarchpriverno@libero.it,-,41.47356129999999,13.181761199999999
84,Cassino,Frosinone,Non MIBACT,,,,,,MUSEO MULTIMEDIALE HISTORIALE DI CASSINO,VIA SAN MARCO 23,Cassino,-,3043.0,776313852,77622996,info@museohistoriale.org,www.museohistoriale.org,41.4838568,13.828682999999998
85,Cervaro,Frosinone,Non MIBACT,,,,,,MUSEO DELL'ARTE ORAFA,PIAZZA COLLE; 1,-,-,3044.0,776367001,776366354,servizisociali@comune.cervaro.sr.it,www.comune.cervaro.fr.it,41.4893784,13.882477100000001
86,Cassino,Frosinone,Non MIBACT,OMR,,,,,Museo dell'Abbazia di Montecassino,,via Montecassino,Abbazia di Montecassino,3043.0,0776 311529,,info@abbaziamontecassino.org,www.abbaziamontecassino.org,41.4907889,13.833377599999999
87,Sezze,Latina,Non MIBACT,OMR,,,MUSART,,Museo diocesano,,Palazzo dei Canonici,,4018.0,0773 886358 - 0773 6986105,,archiviocapitolare@libero.it,,41.4994158,13.0617578
88,Castro dei Volsci,Frosinone,Non MIBACT,,,,,,museo civico ARCHEOLOGICO,VIA ANTONINO CARNEVALE 24,MADONNA DEL PIANO,edificio unico ed autonomo,3020.0,775686829,775610128,museo_archeo@libero.it,-,41.5155229,13.402265599999998
89,Sermoneta,Latina,Non MIBACT,,,,,,MUSEO DELLA STORIA DELLA CERAMICA,CORSO GARIBALDI,-,PALAZZO CAETANI,4013.0,77330151,77330010,sermonetacultura@virgilio.it,-,41.548769899999996,12.9868556
90,Colle San Magno,Frosinone,Non MIBACT,OMR,,,,,museo vivo della memoria,via Roma 66,,,3030.0,0776 560051,,museovivodellamemoria@gmail.com,www.museovivodellamemoria.it/,41.5513756,13.6955016
91,Norma,Latina,Non MIBACT,,,,,,MUSEO DEL CIOCCOLATO 'ANTICA NORBA',via Capo dell'Acqua; 17,-,-,4010.0,773354548,773353997,info@museodelcioccolato.com,www.museodelcioccolato.com,41.595353100000004,12.975852699999999
92,Ripi,Frosinone,Non MIBACT,OMR,,,RESINA,,museo dell'energia,via Merigo Alto,ex mattatoio e lavatoio sec. XIX,,3027.0,0775 285160,,museoenergia.direttore@gmail.com,,41.6080872,13.419391899999999
93,Arpino,Frosinone,Non MIBACT,,,,,,MUSEO DELLA LIUTERIA 'EMBERGHER-CERRONE',CORSO TULLIANO; 49,ARPINO,PALAZZO FELLUCA-MEROLLE,3033.0,776849241,776848535,museiciviciarpino@libero.it,www.arpinoturismo.it,41.6475549,13.611157
94,Arpino,Frosinone,Non MIBACT,OMR,,,,,Museo della Fondazione Æ’??Umberto MastroianniÆ’?ï¿½,,piazza Caduti dell'aria,Castello Ladislao,3033.0,0776 848105,,info@fondazionemastroianni,www.fondazionemastroianni.it,41.649254299999996,13.6246954
95,Atina,Frosinone,Non MIBACT,OMR,,,MUSART,,AcadÃ‡Â¸mie Vitti,via Sode; 180,loc. Ponte Melfa,casa dove vissero Maria e Giacinta Caira e Cesare Vitti,3042.0,0775 211417 - 398 8168855,,cesare.erario@libero.it,www.ciceroneweb.it,41.6571779,13.7389366
96,Veroli,Frosinone,Non MIBACT,OMR,,,PROUST,,MUSEO DELL'ABBAZIA DI CASAMARI,via MÃ‡Ã¿ria; 25,Casamari,Abbazia di Casamari,3029.0,0775-282371,0775-281020,info@abbaziadicasamari.it  mariaromanapicuti@alice.it,www.casamari.it,41.6677667,13.4365449
97,Lanuvio,Roma,Non MIBACT,OMR,Sistema museale dei Castelli romani e prenestini MUSEUMGRANDTOUR,,PROUST,,museo civico LANUVINO,PIAZZA DELLA MADDALENA; 16,Lanuvio,Piano terra del Palazzo Comunale,40.0,693789237,693789229,cultura@lanuvio.comnet.roma.it,-,41.6759901,12.69766
98,Velletri,Roma,Non MIBACT,OMR,,Sistema museale urbano di Velletri,PROUST,,museo civico DI GEOPALEONTOLOGIA E PREISTORIA DEI COLLI ALBANI,VIA G. MAMELI; 4,Velletri,palazzo comunale,49.0,696158268,696158239,museo.civico@comune.velletri.rm.it,www.velletrimusei.it,41.6861964,12.7770369
99,Veroli,Frosinone,Non MIBACT,,,,,,MUSEO DELLE ERBE DEI MONTI ERNICI,PIAZZA MAZZOLI; 10,-,-,3029.0,775237081,775230914,segreteria.veroli@libero.it,www.comune.veroli.fr.it,41.6907002,13.4178082
